iter	MultiClass
0	0.9881500154
1	0.9053547612
2	0.8396098661
3	0.7849259389
4	0.738886703
5	0.6985200016
6	0.6629239045
7	0.6315310056
8	0.6052215765
9	0.5809284628
10	0.5572808182
11	0.5397323712
12	0.5233350119
13	0.5103360437
14	0.4972770642
15	0.4850774336
16	0.4733849821
17	0.4615670148
18	0.4526242968
19	0.4444125424
20	0.4359536769
21	0.428667139
22	0.4213505208
23	0.4160435794
24	0.4102412384
25	0.4037080027
26	0.3981503957
27	0.3928789098
28	0.3876387249
29	0.3827271323
30	0.3785724008
31	0.3751915039
32	0.3710635114
33	0.3684607614
34	0.3650224217
35	0.3611814058
36	0.3581182903
37	0.3547215328
38	0.3527527519
39	0.350605529
40	0.3482100265
41	0.3455110805
42	0.3422219077
43	0.3394768037
44	0.3373800162
45	0.3350733391
46	0.33262123
47	0.3304183589
48	0.327815743
49	0.325211667
50	0.3232147667
51	0.3210585228
52	0.3192471627
53	0.3164300056
54	0.3146972266
55	0.3122906342
56	0.3099920919
57	0.3086346261
58	0.306209089
59	0.3047350428
60	0.3034866644
61	0.3009500176
62	0.2992249966
63	0.2977641198
64	0.2958249099
65	0.2944106053
66	0.2923620688
67	0.2907851951
68	0.2892071788
69	0.2870303778
70	0.2847546395
71	0.2835299645
72	0.2818742151
73	0.280159215
74	0.2782100363
75	0.2764625721
76	0.2745481012
77	0.2734090647
78	0.271705009
79	0.2701730669
80	0.2692509583
81	0.2679945957
82	0.2666478653
83	0.2648827878
84	0.2632615379
85	0.2616738605
86	0.2607796292
87	0.2594302781
88	0.2582527919
89	0.2572603015
90	0.2559815328
91	0.2548576722
92	0.2533532804
93	0.2520837552
94	0.2502518762
95	0.2488869907
96	0.2476138016
97	0.2460930258
98	0.2449216606
99	0.2432324192
100	0.2421817769
101	0.2410399757
102	0.2400254224
103	0.2387464867
104	0.237638965
105	0.2366900848
106	0.2354705446
107	0.2341593149
108	0.2334892972
109	0.2319855745
110	0.2310824111
111	0.2305173205
112	0.2295342874
113	0.2285252496
114	0.2270677293
115	0.2263273515
116	0.225690183
117	0.2245520957
118	0.2236900057
119	0.2224941795
120	0.2215182578
121	0.2208055016
122	0.2198489334
123	0.2187868022
124	0.217520413
125	0.2162668174
126	0.215272529
127	0.2138044355
128	0.2134176986
129	0.2128861218
130	0.2119754461
131	0.2111062294
132	0.2102439858
133	0.2093696371
134	0.2083961124
135	0.2074232566
136	0.2068142305
137	0.2060149618
138	0.2051203143
139	0.2044713508
140	0.2035479395
141	0.2028438137
142	0.20219445
143	0.2016005101
144	0.2009257746
145	0.2003753868
146	0.1997359871
147	0.1990556807
148	0.1984451673
149	0.1979399496
150	0.1972221188
151	0.1963271706
152	0.1956656707
153	0.1947708256
154	0.194309743
155	0.1934775965
156	0.1928554202
157	0.1917200803
158	0.1909522542
159	0.1903033675
160	0.1897625329
161	0.1890130098
162	0.1881147284
163	0.1872070178
164	0.1867331364
165	0.1860223022
166	0.185400972
167	0.1847526045
168	0.1842836045
169	0.183590014
170	0.1828121368
171	0.1822506121
172	0.1815297691
173	0.1811364321
174	0.1806601367
175	0.1801022135
176	0.1792562518
177	0.1786966127
178	0.1780867163
179	0.1777533734
180	0.1769986117
181	0.1763741107
182	0.1756763204
183	0.1751449306
184	0.1744330364
185	0.1739005369
186	0.173175101
187	0.1727574956
188	0.1722495568
189	0.1714524571
190	0.1709722498
191	0.1700150853
192	0.1693998695
193	0.1689611762
194	0.1686038585
195	0.1681828611
196	0.1679133966
197	0.1674979938
198	0.1668865327
199	0.1665306778
200	0.1659589268
201	0.1656336105
202	0.1650810221
203	0.1643223081
204	0.1638343746
205	0.1634430432
206	0.1625616806
207	0.1619692064
208	0.1616975114
209	0.1611234542
210	0.1605291921
211	0.1601454077
212	0.1594029007
213	0.1587787749
214	0.1584500181
215	0.1579886057
216	0.1573110712
217	0.1565752776
218	0.1562091329
219	0.1557544732
220	0.1554330292
221	0.1552480101
222	0.1544183452
223	0.1541316274
224	0.1539077468
225	0.1534849966
226	0.1529677832
227	0.1522897175
228	0.1519762682
229	0.1516446719
230	0.151377325
231	0.1509540377
232	0.1504457375
233	0.1496677686
234	0.1493411264
235	0.1487710453
236	0.1482172517
237	0.1479145921
238	0.1476349826
239	0.1475485341
240	0.1471583461
241	0.146859368
242	0.1464822528
243	0.1461053825
244	0.1457856492
245	0.1454601359
246	0.1452813303
247	0.1449931944
248	0.1447904615
249	0.1445110309
250	0.1443359868
251	0.1437919411
252	0.1434616371
253	0.1428685288
254	0.1424184166
255	0.1417694593
256	0.1415463305
257	0.1410467541
258	0.140811976
259	0.1403002977
260	0.1398664745
261	0.1396059785
262	0.1393364494
263	0.1389875116
264	0.1386318819
265	0.1379092178
266	0.1376526183
267	0.1372091536
268	0.1368573153
269	0.1363886423
270	0.1360066722
271	0.1354707398
272	0.1351961274
273	0.1348767769
274	0.1346011373
275	0.1342039253
276	0.1339328948
277	0.1334405214
278	0.1330369117
279	0.1325264561
280	0.1321474749
281	0.1316875337
282	0.1314789744
283	0.1312395532
284	0.1309945869
285	0.130739901
286	0.130541223
287	0.1304373066
288	0.1302693179
289	0.1300973511
290	0.1297862656
291	0.1294247939
292	0.1292379599
293	0.1290046788
294	0.1286724173
295	0.1284147882
296	0.1281464998
297	0.1278917101
298	0.1277787441
299	0.1275373642
300	0.1271502588
301	0.1269235349
302	0.1267142393
303	0.126512575
304	0.1261327715
305	0.1259663448
306	0.1256178367
307	0.1252638453
308	0.1251656976
309	0.1249365795
310	0.1246618804
311	0.1245072869
312	0.1243629348
313	0.124094433
314	0.123960923
315	0.1236855476
316	0.1234718423
317	0.1231460916
318	0.122562286
319	0.1218033546
320	0.1216221519
321	0.1214713446
322	0.1211724637
323	0.120792781
324	0.1203475377
325	0.1201688751
326	0.1199772959
327	0.119696932
328	0.1194706476
329	0.1191323823
330	0.1189935811
331	0.118771175
332	0.1184763242
333	0.1181431452
334	0.1179359551
335	0.1178044954
336	0.117721829
337	0.1175488698
338	0.117381617
339	0.1171946709
340	0.1170156583
341	0.1165729717
342	0.1163270312
343	0.1160853586
344	0.1159399012
345	0.1156515889
346	0.1154144302
