iter	Passed	Remaining
0	16	8321
1	33	8243
2	50	8424
3	68	8476
4	85	8498
5	101	8385
6	118	8373
7	135	8357
8	151	8269
9	167	8216
10	184	8192
11	201	8199
12	219	8226
13	236	8203
14	252	8174
15	269	8152
16	286	8131
17	304	8148
18	320	8121
19	337	8096
20	353	8065
21	369	8037
22	386	8022
23	402	7985
24	419	7969
25	436	7958
26	453	7942
27	469	7916
28	486	7898
29	502	7871
30	518	7849
31	534	7817
32	551	7804
33	568	7790
34	584	7759
35	601	7749
36	617	7726
37	634	7715
38	651	7700
39	668	7684
40	686	7681
41	703	7671
42	719	7647
43	735	7624
44	751	7596
45	767	7578
46	783	7554
47	800	7539
48	816	7517
49	832	7496
50	849	7482
51	866	7465
52	882	7444
53	899	7428
54	915	7411
55	933	7398
56	950	7388
57	967	7370
58	985	7363
59	1001	7342
60	1018	7326
61	1036	7319
62	1053	7304
63	1069	7287
64	1085	7261
65	1101	7240
66	1117	7223
67	1134	7205
68	1152	7198
69	1169	7181
70	1185	7162
71	1202	7145
72	1218	7128
73	1234	7106
74	1251	7093
75	1268	7075
76	1284	7054
77	1300	7038
78	1318	7025
79	1334	7008
80	1351	6992
81	1367	6971
82	1384	6956
83	1401	6942
84	1418	6924
85	1434	6906
86	1451	6888
87	1466	6867
88	1483	6851
89	1498	6827
90	1513	6800
91	1528	6779
92	1545	6762
93	1561	6746
94	1579	6734
95	1595	6714
96	1612	6697
97	1628	6681
98	1644	6662
99	1662	6649
100	1679	6633
101	1694	6610
102	1710	6593
103	1727	6575
104	1741	6552
105	1757	6531
106	1773	6514
107	1788	6492
108	1805	6477
109	1822	6462
110	1839	6445
111	1855	6426
112	1871	6407
113	1888	6393
114	1905	6378
115	1921	6361
116	1937	6341
117	1953	6323
118	1969	6306
119	1986	6290
120	2003	6274
121	2019	6258
122	2036	6240
123	2053	6225
124	2069	6208
125	2086	6191
126	2102	6174
127	2120	6161
128	2135	6141
129	2151	6122
130	2167	6106
131	2184	6091
132	2200	6073
133	2217	6055
134	2234	6040
135	2250	6022
136	2266	6005
137	2282	5986
138	2298	5970
139	2314	5951
140	2330	5933
141	2346	5915
